#muB/T	T[MeV]	p/T^4	error	nB/T^3	error	s/T^4	error	e/T^4	error	nS/T^3	error	chiS2	error
1.0	224	2.147e+00	5.207e-02	2.699e-01	9.117e-04	1.220e+01	2.304e-01	1.032e+01	2.237e-01	-2.479e-01	3.289e-03	7.740e-01	9.652e-03
1.0	225	2.164e+00	5.444e-02	2.708e-01	8.494e-04	1.226e+01	2.451e-01	1.037e+01	2.431e-01	-2.491e-01	3.452e-03	7.775e-01	9.123e-03
1.0	226	2.182e+00	5.178e-02	2.716e-01	7.682e-04	1.233e+01	2.389e-01	1.042e+01	2.397e-01	-2.501e-01	3.562e-03	7.810e-01	8.855e-03
1.0	227	2.200e+00	4.803e-02	2.724e-01	7.505e-04	1.239e+01	2.270e-01	1.046e+01	2.295e-01	-2.512e-01	3.593e-03	7.843e-01	8.864e-03
1.0	228	2.219e+00	4.827e-02	2.732e-01	7.973e-04	1.245e+01	2.287e-01	1.051e+01	2.323e-01	-2.522e-01	3.568e-03	7.876e-01	8.944e-03
1.0	229	2.238e+00	5.245e-02	2.740e-01	8.348e-04	1.251e+01	2.421e-01	1.055e+01	2.459e-01	-2.531e-01	3.522e-03	7.909e-01	8.816e-03
1.0	230	2.256e+00	5.562e-02	2.747e-01	8.389e-04	1.256e+01	2.464e-01	1.058e+01	2.491e-01	-2.541e-01	3.484e-03	7.941e-01	8.455e-03
1.0	231	2.274e+00	5.419e-02	2.755e-01	8.330e-04	1.260e+01	2.276e-01	1.060e+01	2.276e-01	-2.549e-01	3.472e-03	7.972e-01	8.058e-03
1.0	232	2.291e+00	5.137e-02	2.762e-01	8.234e-04	1.264e+01	2.057e-01	1.062e+01	2.030e-01	-2.558e-01	3.480e-03	8.003e-01	7.865e-03
1.0	233	2.307e+00	5.146e-02	2.769e-01	7.882e-04	1.267e+01	2.079e-01	1.064e+01	2.051e-01	-2.566e-01	3.486e-03	8.033e-01	8.027e-03
1.0	234	2.323e+00	5.456e-02	2.776e-01	7.263e-04	1.271e+01	2.318e-01	1.066e+01	2.314e-01	-2.573e-01	3.459e-03	8.063e-01	8.505e-03
1.0	235	2.338e+00	5.650e-02	2.782e-01	6.922e-04	1.275e+01	2.486e-01	1.069e+01	2.503e-01	-2.580e-01	3.370e-03	8.091e-01	9.086e-03
1.0	236	2.352e+00	5.418e-02	2.789e-01	7.078e-04	1.281e+01	2.399e-01	1.073e+01	2.423e-01	-2.586e-01	3.230e-03	8.120e-01	9.502e-03
1.0	237	2.366e+00	5.085e-02	2.795e-01	7.275e-04	1.287e+01	2.239e-01	1.078e+01	2.267e-01	-2.592e-01	3.103e-03	8.147e-01	9.531e-03
1.0	238	2.380e+00	5.098e-02	2.801e-01	6.980e-04	1.293e+01	2.249e-01	1.083e+01	2.289e-01	-2.598e-01	3.066e-03	8.174e-01	9.197e-03
1.0	239	2.395e+00	5.463e-02	2.807e-01	6.588e-04	1.299e+01	2.425e-01	1.088e+01	2.480e-01	-2.604e-01	3.168e-03	8.200e-01	8.727e-03
1.0	240	2.410e+00	5.743e-02	2.813e-01	6.832e-04	1.305e+01	2.522e-01	1.092e+01	2.585e-01	-2.609e-01	3.402e-03	8.225e-01	8.385e-03
